,powder1,powder2,fraction
432,UNIQUE,POWER PISTOL,[[0.93220339]]
433,UNIQUE,LONGSHORT,[[1.1]]
434,UNIQUE,v-N320,[[1.375]]
435,UNIQUE,CFE PISTOL,[[1.03773585]]
436,UNIQUE,IMR TARGET,[[1.25]]
437,UNIQUE,HP38,[[1.17021277]]
438,UNIQUE,WIN 231,[[1.17021277]]
439,UNIQUE,AUTOCOMP,[[1.07843137]]
440,UNIQUE,TITEGROUP,[[1.22222222]]
441,UNIQUE,UNIVERSAL,[[1.22222222]]
442,UNIQUE,BULLSEYE,[[1.34146341]]
443,UNIQUE,SR7625,[[1.22222222]]
444,UNIQUE,AMER-SELECT,[[1.14583333]]
445,UNIQUE,CLAYS,[[1.48648649]]
446,UNIQUE,IMR 700X,[[1.41025641]]
447,UNIQUE,IMR PB,[[1.52777778]]
448,HS6,WIN 572,[[1.26415094]]
449,HS6,POWER PISTOL,[[1.13559322]]
450,HS6,LONGSHORT,[[1.34]]
451,HS6,v-N320,[[1.675]]
452,HS6,CFE PISTOL,[[1.26415094]]
453,HS6,IMR TARGET,[[1.52272727]]
454,HS6,HP38,[[1.42553191]]
455,HS6,WIN 231,[[1.42553191]]
456,HS6,AUTOCOMP,[[1.31372549]]
457,HS6,TITEGROUP,[[1.48888889]]
458,HS6,UNIVERSAL,[[1.48888889]]
459,HS6,BULLSEYE,[[1.63414634]]
460,HS6,SR7625,[[1.48888889]]
461,HS6,AMER-SELECT,[[1.39583333]]
462,HS6,CLAYS,[[1.81081081]]
463,HS6,IMR 700X,[[1.71794872]]
464,HS6,IMR PB,[[1.86111111]]
465,WIN 572,POWER PISTOL,[[0.89830508]]
466,WIN 572,LONGSHORT,[[1.06]]
467,WIN 572,v-N320,[[1.325]]
468,WIN 572,CFE PISTOL,[[1.]]
469,WIN 572,IMR TARGET,[[1.20454545]]
470,WIN 572,HP38,[[1.12765957]]
471,WIN 572,WIN 231,[[1.12765957]]
472,WIN 572,AUTOCOMP,[[1.03921569]]
473,WIN 572,TITEGROUP,[[1.17777778]]
474,WIN 572,UNIVERSAL,[[1.17777778]]
475,WIN 572,BULLSEYE,[[1.29268293]]
476,WIN 572,SR7625,[[1.17777778]]
477,WIN 572,AMER-SELECT,[[1.10416667]]
478,WIN 572,CLAYS,[[1.43243243]]
479,WIN 572,IMR 700X,[[1.35897436]]
480,WIN 572,IMR PB,[[1.47222222]]
481,POWER PISTOL,LONGSHORT,[[1.18]]
482,POWER PISTOL,v-N320,[[1.475]]
483,POWER PISTOL,CFE PISTOL,[[1.11320755]]
484,POWER PISTOL,IMR TARGET,[[1.34090909]]
485,POWER PISTOL,HP38,[[1.25531915]]
486,POWER PISTOL,WIN 231,[[1.25531915]]
487,POWER PISTOL,AUTOCOMP,[[1.15686275]]
488,POWER PISTOL,TITEGROUP,[[1.31111111]]
489,POWER PISTOL,UNIVERSAL,[[1.31111111]]
490,POWER PISTOL,BULLSEYE,[[1.43902439]]
491,POWER PISTOL,SR7625,[[1.31111111]]
492,POWER PISTOL,AMER-SELECT,[[1.22916667]]
493,POWER PISTOL,CLAYS,[[1.59459459]]
494,POWER PISTOL,IMR 700X,[[1.51282051]]
495,POWER PISTOL,IMR PB,[[1.63888889]]
496,LONGSHORT,v-N320,[[1.25]]
497,LONGSHORT,CFE PISTOL,[[0.94339623]]
498,LONGSHORT,IMR TARGET,[[1.13636364]]
499,LONGSHORT,HP38,[[1.06382979]]
500,LONGSHORT,WIN 231,[[1.06382979]]
501,LONGSHORT,AUTOCOMP,[[0.98039216]]
502,LONGSHORT,TITEGROUP,[[1.11111111]]
503,LONGSHORT,UNIVERSAL,[[1.11111111]]
504,LONGSHORT,BULLSEYE,[[1.2195122]]
505,LONGSHORT,SR7625,[[1.11111111]]
506,LONGSHORT,AMER-SELECT,[[1.04166667]]
507,LONGSHORT,CLAYS,[[1.35135135]]
508,LONGSHORT,IMR 700X,[[1.28205128]]
509,LONGSHORT,IMR PB,[[1.38888889]]
510,v-N320,CFE PISTOL,[[0.75471698]]
511,v-N320,IMR TARGET,[[0.90909091]]
512,v-N320,HP38,[[0.85106383]]
513,v-N320,WIN 231,[[0.85106383]]
514,v-N320,AUTOCOMP,[[0.78431373]]
515,v-N320,TITEGROUP,[[0.88888889]]
516,v-N320,UNIVERSAL,[[0.88888889]]
517,v-N320,BULLSEYE,[[0.97560976]]
518,v-N320,SR7625,[[0.88888889]]
519,v-N320,AMER-SELECT,[[0.83333333]]
520,v-N320,CLAYS,[[1.08108108]]
521,v-N320,IMR 700X,[[1.02564103]]
522,v-N320,IMR PB,[[1.11111111]]
523,CFE PISTOL,IMR TARGET,[[1.20454545]]
524,CFE PISTOL,HP38,[[1.12765957]]
525,CFE PISTOL,WIN 231,[[1.12765957]]
526,CFE PISTOL,AUTOCOMP,[[1.03921569]]
527,CFE PISTOL,TITEGROUP,[[1.17777778]]
528,CFE PISTOL,UNIVERSAL,[[1.17777778]]
529,CFE PISTOL,BULLSEYE,[[1.29268293]]
530,CFE PISTOL,SR7625,[[1.17777778]]
531,CFE PISTOL,AMER-SELECT,[[1.10416667]]
532,CFE PISTOL,CLAYS,[[1.43243243]]
533,CFE PISTOL,IMR 700X,[[1.35897436]]
534,CFE PISTOL,IMR PB,[[1.47222222]]
535,IMR TARGET,HP38,[[0.93617021]]
536,IMR TARGET,WIN 231,[[0.93617021]]
537,IMR TARGET,AUTOCOMP,[[0.8627451]]
538,IMR TARGET,TITEGROUP,[[0.97777778]]
539,IMR TARGET,UNIVERSAL,[[0.97777778]]
540,IMR TARGET,BULLSEYE,[[1.07317073]]
541,IMR TARGET,SR7625,[[0.97777778]]
542,IMR TARGET,AMER-SELECT,[[0.91666667]]
543,IMR TARGET,CLAYS,[[1.18918919]]
544,IMR TARGET,IMR 700X,[[1.12820513]]
545,IMR TARGET,IMR PB,[[1.22222222]]
546,HP38,WIN 231,[[1.]]
547,HP38,AUTOCOMP,[[0.92156863]]
548,HP38,TITEGROUP,[[1.04444444]]
549,HP38,UNIVERSAL,[[1.04444444]]
550,HP38,BULLSEYE,[[1.14634146]]
551,HP38,SR7625,[[1.04444444]]
552,HP38,AMER-SELECT,[[0.97916667]]
553,HP38,CLAYS,[[1.27027027]]
554,HP38,IMR 700X,[[1.20512821]]
555,HP38,IMR PB,[[1.30555556]]
556,WIN 231,AUTOCOMP,[[0.92156863]]
557,WIN 231,TITEGROUP,[[1.04444444]]
558,WIN 231,UNIVERSAL,[[1.04444444]]
559,WIN 231,BULLSEYE,[[1.14634146]]
560,WIN 231,SR7625,[[1.04444444]]
561,WIN 231,AMER-SELECT,[[0.97916667]]
562,WIN 231,CLAYS,[[1.27027027]]
563,WIN 231,IMR 700X,[[1.20512821]]
564,WIN 231,IMR PB,[[1.30555556]]
565,AUTOCOMP,TITEGROUP,[[1.13333333]]
566,AUTOCOMP,UNIVERSAL,[[1.13333333]]
567,AUTOCOMP,BULLSEYE,[[1.24390244]]
568,AUTOCOMP,SR7625,[[1.13333333]]
569,AUTOCOMP,AMER-SELECT,[[1.0625]]
570,AUTOCOMP,CLAYS,[[1.37837838]]
571,AUTOCOMP,IMR 700X,[[1.30769231]]
572,AUTOCOMP,IMR PB,[[1.41666667]]
573,TITEGROUP,UNIVERSAL,[[1.]]
574,TITEGROUP,BULLSEYE,[[1.09756098]]
575,TITEGROUP,SR7625,[[1.]]
576,TITEGROUP,AMER-SELECT,[[0.9375]]
577,TITEGROUP,CLAYS,[[1.21621622]]
578,TITEGROUP,IMR 700X,[[1.15384615]]
579,TITEGROUP,IMR PB,[[1.25]]
580,UNIVERSAL,BULLSEYE,[[1.09756098]]
581,UNIVERSAL,SR7625,[[1.]]
582,UNIVERSAL,AMER-SELECT,[[0.9375]]
583,UNIVERSAL,CLAYS,[[1.21621622]]
584,UNIVERSAL,IMR 700X,[[1.15384615]]
585,UNIVERSAL,IMR PB,[[1.25]]
586,BULLSEYE,SR7625,[[0.91111111]]
587,BULLSEYE,AMER-SELECT,[[0.85416667]]
588,BULLSEYE,CLAYS,[[1.10810811]]
589,BULLSEYE,IMR 700X,[[1.05128205]]
